Zip,City,State,Latitude,Longitude,relevantFacilities
60067,Palatine,IL,42.109790000000004,-88.04916999999999,[258887]
52644,Mount Union,IA,41.038005,-91.39992,"[233498, 233642, 233671, 233459, 233624]"
52730,Camanche,IA,41.780515,-90.28869,"[233651, 233498, 233427, 233459, 233624, 233503]"
53224,Milwaukee,WI,43.153865,-88.04032,[]
37205,Nashville,TN,36.113558000000005,-86.86206999999999,"[232515, 232545, 232572, 232539, 232702, 233420, 232627, 233650, 232677]"
15216,Pittsburgh,PA,40.400319,-80.03566,"[233679, 272174, 255204, 233553, 233627]"
15365,Taylorstown,PA,40.16113,-80.378093,"[272174, 255204, 233553, 232389]"
45614,Bidwell,OH,38.919179,-82.29337,"[233493, 232904]"
98358,Nordland,WA,48.058323,-122.68794,"[233384, 251906, 251906, 255201]"
54638,Kendall,WI,43.795421999999995,-90.37609,[233697]
55005,Bethel,MN,45.395494,-93.23584,"[233648, 233510]"
56282,Raymond,MN,45.028945,-95.22418,[]
61054,Mount Morris,IL,42.046139000000004,-89.44025,"[233498, 233427, 233651]"
78703,Austin,TX,30.290907,-97.76276999999999,"[232626, 232570, 232745, 234643, 234181, 232546, 232728, 232748]"
79239,Lakeview,TX,34.637427,-100.76388,[]
92657,Newport Coast,CA,33.610717,-117.8325,"[234555, 233735, 232250, 231976, 233381]"
64628,Brookfield,MO,39.792041999999995,-93.04973000000001,[233522]
65546,Montier,MO,37.153294,-91.337506,"[234045, 234046, 232604, 232325, 251547, 232691, 234357, 232523, 232526, 234442, 232391, 234490]"
65590,Long Lane,MO,37.610820000000004,-92.94184,"[233453, 233575, 233135, 232516, 233542, 232521, 232610, 232542, 233471, 233646, 233699, 233441]"
58467,Medina,ND,46.867794,-99.33125,"[234676, 251467, 234677]"
58770,Parshall,ND,47.927133000000005,-102.13973,[233490]
68309,Barneston,NE,40.048634,-96.57326,[234280]
61335,McNabb,IL,41.168946000000005,-89.2205,[233651]
62061,Marine,IL,38.789559999999994,-89.77538,"[233613, 233496, 233504, 233483, 233611]"
20608,Aquasco,MD,38.564648999999996,-76.69229,"[232474, 233379, 252968]"
21660,Ridgely,MD,38.954731,-75.88459,"[232474, 232507]"
78341,Benavides,TX,27.592468,-98.414188,[]
64492,Trimble,MO,39.474988,-94.54614000000001,"[250850, 233631, 233700]"
68337,Dawson,NE,40.111270000000005,-95.83868000000001,[234280]
68757,Newcastle,NE,42.660607,-96.92796,"[233561, 233467]"
75657,Jefferson,TX,32.768011,-94.34908,"[232536, 232553, 233828, 233180, 251361, 232696, 234362]"
